# 1:T               2:E_av               3:E_err               4:C               5:M               6:Mx               7:My               8:Mz               9:M_err_x               10:M_err_y               11:M_err_z               12:chi_x               13:chi_y               14:chi_z               15:vx               16:vy               17:vz               18:qeuler               19:Chi_q               20:Q+               21:Chi_qp               22:Q-               23:Chi_qm               24:l_x               25:l_y               26:l_z               27:Chi_QpQm               28: Re(Mj+Mi-)               29: Im(Mj+Mi-)               30: Re(Mi+Mi+)               31: Im(Mi+Mi+)               32: Re(Mi+Mi-)               33: Re(Mi+Mj+)               34: Im(Mi+Mj+)
   0.1000000000E+002    -0.9992687500E-003     0.1940673834E-005     0.8112800662E-002     0.9998153125E+000     0.0000000000E+000     0.0000000000E+000     0.9998153125E+000     0.0000000000E+000     0.0000000000E+000     0.4928533031E-003     0.0000000000E+000     0.0000000000E+000     0.4508934153E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1100000000E+002    -0.9981243750E-003     0.3047792742E-005     0.1653678939E-001     0.9995246875E+000     0.0000000000E+000     0.0000000000E+000     0.9995246875E+000     0.0000000000E+000     0.0000000000E+000     0.7788784021E-003     0.0000000000E+000     0.0000000000E+000     0.1023729427E+001     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1200000000E+002    -0.9962912500E-003     0.4370348778E-005     0.2857165565E-001     0.9990546875E+000     0.0000000000E+000     0.0000000000E+000     0.9990546875E+000     0.0000000000E+000     0.0000000000E+000     0.1130915401E-002     0.0000000000E+000     0.0000000000E+000     0.1978415660E+001     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1300000000E+002    -0.9931956250E-003     0.5947553006E-005     0.4508744675E-001     0.9982484375E+000     0.0000000000E+000     0.0000000000E+000     0.9982484375E+000     0.0000000000E+000     0.0000000000E+000     0.1563069570E-002     0.0000000000E+000     0.0000000000E+000     0.3488605122E+001     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1400000000E+002    -0.9879181250E-003     0.7917458908E-005     0.6889397914E-001     0.9968512500E+000     0.0000000000E+000     0.0000000000E+000     0.9968512500E+000     0.0000000000E+000     0.0000000000E+000     0.2138147003E-002     0.0000000000E+000     0.0000000000E+000     0.6061577130E+001     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1500000000E+002    -0.9811250000E-003     0.1012271541E-004     0.9810185991E-001     0.9950068750E+000     0.0000000000E+000     0.0000000000E+000     0.9950068750E+000     0.0000000000E+000     0.0000000000E+000     0.2806167783E-002     0.0000000000E+000     0.0000000000E+000     0.9744836561E+001     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1600000000E+002    -0.9710581250E-003     0.1239575422E-004     0.1292919996E+000     0.9922043750E+000     0.0000000000E+000     0.0000000000E+000     0.9922043750E+000     0.0000000000E+000     0.0000000000E+000     0.3570409509E-002     0.0000000000E+000     0.0000000000E+000     0.1478953871E+002     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1700000000E+002    -0.9574868750E-003     0.1527560478E-004     0.1739260719E+000     0.9883387500E+000     0.0000000000E+000     0.0000000000E+000     0.9883387500E+000     0.0000000000E+000     0.0000000000E+000     0.4549651582E-002     0.0000000000E+000     0.0000000000E+000     0.2260194985E+002     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1800000000E+002    -0.9402281250E-003     0.1878322653E-004     0.2345638529E+000     0.9832346875E+000     0.0000000000E+000     0.0000000000E+000     0.9832346875E+000     0.0000000000E+000     0.0000000000E+000     0.5840692131E-002     0.0000000000E+000     0.0000000000E+000     0.3517990597E+002     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1900000000E+002    -0.9181843750E-003     0.2247985552E-004     0.3015404190E+000     0.9764606250E+000     0.0000000000E+000     0.0000000000E+000     0.9764606250E+000     0.0000000000E+000     0.0000000000E+000     0.7364641647E-002     0.0000000000E+000     0.0000000000E+000     0.5298930070E+002     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
