# 1:T               2:E_av               3:E_err               4:C               5:M               6:Mx               7:My               8:Mz               9:M_err_x               10:M_err_y               11:M_err_z               12:chi_x               13:chi_y               14:chi_z               15:vx               16:vy               17:vz               18:qeuler               19:Chi_q               20:Q+               21:Chi_qp               22:Q-               23:Chi_qm               24:l_x               25:l_y               26:l_z               27:Chi_QpQm               28: Re(Mj+Mi-)               29: Im(Mj+Mi-)               30: Re(Mi+Mi+)               31: Im(Mi+Mi+)               32: Re(Mi+Mi-)               33: Re(Mi+Mj+)               34: Im(Mi+Mj+)
   0.1947368421E+002    -0.9062600000E-003     0.4922637134E-004     0.3438580448E+000     0.2938700000E+000     0.0000000000E+000     0.0000000000E+000     0.2938700000E+000     0.0000000000E+000     0.0000000000E+000     0.9277841649E+000     0.0000000000E+000     0.0000000000E+000     0.2049738331E+006     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1000000000E+002    -0.9994300000E-003     0.3374386834E-005     0.6127305360E-002     0.2519950000E+000     0.0000000000E+000     0.0000000000E+000     0.2519950000E+000     0.0000000000E+000     0.0000000000E+000     0.9680632425E+000     0.0000000000E+000     0.0000000000E+000     0.4345703526E+006     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.4000000000E+002     0.3243600000E-003     0.9000717578E-004     0.2724671038E+000     0.3070000000E-002     0.0000000000E+000     0.0000000000E+000     0.3070000000E-002     0.0000000000E+000     0.0000000000E+000     0.1268057759E+000     0.0000000000E+000     0.0000000000E+000     0.1864106472E+004     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.2736842105E+002    -0.2932200000E-003     0.1477215396E-003     0.1567718032E+001     0.8486000000E-001     0.0000000000E+000     0.0000000000E+000     0.8486000000E-001     0.0000000000E+000     0.0000000000E+000     0.5677826235E+000     0.0000000000E+000     0.0000000000E+000     0.5462193558E+005     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.2578947368E+002    -0.5107100000E-003     0.1398039379E-003     0.1581370523E+001     0.2813650000E+000     0.0000000000E+000     0.0000000000E+000     0.2813650000E+000     0.0000000000E+000     0.0000000000E+000     0.7161835873E+000     0.0000000000E+000     0.0000000000E+000     0.9222717015E+005     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.3684210526E+002     0.2484900000E-003     0.9199392797E-004     0.3355129102E+000     0.4290000000E-002     0.0000000000E+000     0.0000000000E+000    -0.4290000000E-002     0.0000000000E+000     0.0000000000E+000     0.1461893198E+000     0.0000000000E+000     0.0000000000E+000     0.2689920754E+004     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.2105263158E+002    -0.8543800000E-003     0.6278660492E-004     0.4786312030E+000     0.4007250000E+000     0.0000000000E+000     0.0000000000E+000     0.4007250000E+000     0.0000000000E+000     0.0000000000E+000     0.8678901328E+000     0.0000000000E+000     0.0000000000E+000     0.1659112156E+006     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1157894737E+002    -0.9968200000E-003     0.8158072945E-005     0.2671263914E-001     0.2717500000E+000     0.0000000000E+000     0.0000000000E+000     0.2717500000E+000     0.0000000000E+000     0.0000000000E+000     0.9620095893E+000     0.0000000000E+000     0.0000000000E+000     0.3706315249E+006     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.3368421053E+002     0.1386600000E-003     0.1021157776E-003     0.4945528853E+000     0.4520000000E-002     0.0000000000E+000     0.0000000000E+000     0.4520000000E-002     0.0000000000E+000     0.0000000000E+000     0.1942723896E+000     0.0000000000E+000     0.0000000000E+000     0.5195752142E+004     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.2421052632E+002    -0.6769500000E-003     0.1024445821E-003     0.9634946713E+000     0.4847800000E+000     0.0000000000E+000     0.0000000000E+000     0.4847800000E+000     0.0000000000E+000     0.0000000000E+000     0.7343489088E+000     0.0000000000E+000     0.0000000000E+000     0.1032888189E+006     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.2894736842E+002    -0.1311300000E-003     0.1250690424E-003     0.1004526182E+001     0.4966500000E-001     0.0000000000E+000     0.0000000000E+000     0.4966500000E-001     0.0000000000E+000     0.0000000000E+000     0.3860115512E+000     0.0000000000E+000     0.0000000000E+000     0.2386954538E+005     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1789473684E+002    -0.9390200000E-003     0.3784007758E-004     0.2406208146E+000     0.2627950000E+000     0.0000000000E+000     0.0000000000E+000     0.2627950000E+000     0.0000000000E+000     0.0000000000E+000     0.9474426159E+000     0.0000000000E+000     0.0000000000E+000     0.2326125535E+006     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.3210526316E+002     0.7552000000E-004     0.1052644774E-003     0.5784835293E+000     0.8160000000E-002     0.0000000000E+000     0.0000000000E+000     0.8160000000E-002     0.0000000000E+000     0.0000000000E+000     0.2301890558E+000     0.0000000000E+000     0.0000000000E+000     0.7653247230E+004     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.3526315789E+002     0.1919300000E-003     0.9840151400E-004     0.4190259758E+000     0.3170000000E-002     0.0000000000E+000     0.0000000000E+000    -0.3170000000E-002     0.0000000000E+000     0.0000000000E+000     0.1625135741E+000     0.0000000000E+000     0.0000000000E+000     0.3473047440E+004     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.3842105263E+002     0.2916900000E-003     0.8670156320E-004     0.2740281165E+000     0.2830000000E-002     0.0000000000E+000     0.0000000000E+000    -0.2830000000E-002     0.0000000000E+000     0.0000000000E+000     0.1352846741E+000     0.0000000000E+000     0.0000000000E+000     0.2208922985E+004     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.3052631579E+002    -0.9510000000E-005     0.1098504758E-003     0.6968429134E+000     0.2455500000E-001     0.0000000000E+000     0.0000000000E+000     0.2455500000E-001     0.0000000000E+000     0.0000000000E+000     0.2824578897E+000     0.0000000000E+000     0.0000000000E+000     0.1211952675E+005     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1631578947E+002    -0.9668400000E-003     0.2766911600E-004     0.1547583786E+000     0.1998300000E+000     0.0000000000E+000     0.0000000000E+000     0.1998300000E+000     0.0000000000E+000     0.0000000000E+000     0.9711025493E+000     0.0000000000E+000     0.0000000000E+000     0.2680246451E+006     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1473684211E+002    -0.9827900000E-003     0.1839168709E-004     0.8381351734E-001     0.2329650000E+000     0.0000000000E+000     0.0000000000E+000     0.2329650000E+000     0.0000000000E+000     0.0000000000E+000     0.9683186846E+000     0.0000000000E+000     0.0000000000E+000     0.2950426688E+006     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.2263157895E+002    -0.7788200000E-003     0.7721119847E-004     0.6263407479E+000     0.4512750000E+000     0.0000000000E+000     0.0000000000E+000     0.4512750000E+000     0.0000000000E+000     0.0000000000E+000     0.8094043395E+000     0.0000000000E+000     0.0000000000E+000     0.1342359487E+006     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1315789474E+002    -0.9925600000E-003     0.1239354671E-004     0.4774173402E-001     0.2674900000E+000     0.0000000000E+000     0.0000000000E+000     0.2674900000E+000     0.0000000000E+000     0.0000000000E+000     0.9620546237E+000     0.0000000000E+000     0.0000000000E+000     0.3261862791E+006     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.3294428640E+002     0.1104350000E-003     0.1024925028E-003     0.5211000156E+000     0.5595000000E-002     0.0000000000E+000     0.0000000000E+000     0.5595000000E-002     0.0000000000E+000     0.0000000000E+000     0.2014348132E+000     0.0000000000E+000     0.0000000000E+000     0.5714245563E+004     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1733629746E+002    -0.9524750000E-003     0.3276371630E-004     0.1922962044E+000     0.7537000000E-001     0.0000000000E+000     0.0000000000E+000    -0.7537000000E-001     0.0000000000E+000     0.0000000000E+000     0.9843179893E+000     0.0000000000E+000     0.0000000000E+000     0.2592892066E+006     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.2994283082E+002    -0.3554000000E-004     0.1118349763E-003     0.7510462573E+000     0.3072500000E-002     0.0000000000E+000     0.0000000000E+000     0.3072500000E-002     0.0000000000E+000     0.0000000000E+000     0.2962759895E+000     0.0000000000E+000     0.0000000000E+000     0.1360097375E+005     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.2603200632E+002    -0.4892400000E-003     0.1401050931E-003     0.1559515383E+001     0.1937000000E-001     0.0000000000E+000     0.0000000000E+000    -0.1937000000E-001     0.0000000000E+000     0.0000000000E+000     0.7530674993E+000     0.0000000000E+000     0.0000000000E+000     0.1010718262E+006     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
